,,,,,,,,,,,,,,,,,
1,Name of kriya,,Steps,step 1,step 2,step 3,step 4,step 5,step 6,step 7,step 8,step 9,step 10,step 11,step 12,,
,,,,,,,,,,,,,,,,,
2,Care For Achromatopsia,,1. PASHCHIMOTTA ASANA 2. SHEETHALEE KUMBHAKA 3. SEETHKAAREE KUMBHAKA 4. PAVANA MUKTHASANA 5. TRINETRA KUMBHAKA 6. TRISHOOLA KUMBHAKA,"1. Pashchimotta
1. Sit with the legs stretched, the heels not touching one another. 2. Bend forward 3. Place your forehead on the knees 4. Catch hold of the feet with your hands 5. Remain in this pose 30 seconds IN PASHCHIMOTTA ASANA, NEXT -","2. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana 2. Close the eyes and relax the whole body 3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube 4. Inhale slowly through the tongue and fill the abdomen slowly 5. At the end of inhalation, roll the tongue in, close the mouth 6. Retain it there for a short time 7. Then exhale through both the nostrils 8. Do this 3 minutes IN PARVATA ASANA, NEXT-","3. Seethkaaree Praanaayaama
1. Stay in same asana 2. Press the lower and upper teeth together and separate the lips as much as comfortable 3. Breath in slowly through the gaps of the teeth 4. Listen to the sound of the breath as the air is being drawn in 5. Close the mouth at the end of the inhalation 6. Exhale slowly through the nose 7. Do this for 7 minutes","4. Pavana Mukthasana 
1. Stay on ground. 2. Bring two heels close to perineal region. 3. Keep the knees raised. Hold knees with two hands and press them against the chest. 4. Remain in this pose for 30 seconds IN PAVANA MUKTHASANA,","5.TRINETRA KUMBHAKA 
1. Inhale through the left nostril 2. Hold the breath as long as you can judiciously 3. Without exhalation, inhale through the right nostril 4. Hold the breath as long as you can judiciously 5. Again without exhaling, inhale through both the nostrils 6. Hold the breath as long as you can judiciously 7. Now exhale through both the nostrils slowly 8. Do this 21 times","6.TRISHOOLA KUMBHAKA
1. Inhale through the nostrils and also through the mouth simultaneously 2. Hold the breath as long as you can judiciously 3. Now exhale through the nostrils slowly and relax 4. Do this 21 times",,,,,,,,
3,Care for Ageing,,1. ARDHA PADMA ASANA 2. KRITTI SHRESHTA KUMBHAKA 3. PRAKRITHI KUMBHAKA 4. SAMAANA KUMBHAKA 5. VYAANA KUMBHAKA 6. SAMA KUMBHAKA 7. SHANTHA KUMBHAKA,TECHNIQUE for Ardha PADMA ASANA 1. Place the right foot on the left thigh 2. Now Place the left foot under the right thigh 3. Concentrate on the tip of the nose. Keep your hands on your thighs in chin mudra 4. Settle in this posture for 30 seconds,"KRITTI SHRESHTA KUMBHAKA
TECHNIQUE
1. Inhale air forcibly through both the nostrils and bring to the heart region 
2. As you are holding push up the air up the throat, palate, eye brow center, and top of the head 
one by one and retain the air at top of the head.
3. Exhale when you can not hold any more
4. Do this 21 times","PRAKRITHI KUMBHAKA
TECHNIQUE
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, Hold the breath
3. Then slowly exhale normally
4. Do this 21 times","SAMAANA KUMBHAKA
TECHNIQUE
1. Inhale completely till the navel is filled
2. While inhaling visualize that the prana is spread and held all over the body
3. Hold as long as you can judiciously
4. While you hold, visualize the fire element in your navel region
5. When you cannot hold any more, exhale 
6. Do this 21 times","VYAANA KUMBHAKA
TECHNIQUE
1. Inhale Deeply 
2. Hold the breath by contracting the whole body
3. Have intense awareness on your whole body.
42
4. When you cannot hold any more slowly exhale and return to normal breathing 
5. Do this 21 times","SAMA KUMBHAKA
TECHNIQUE
1. Stop inhaling and exhaling
2. Without using the fingers mentally retain the breath 
3. As you are holding bring your awareness to the parts of the body where you feel you have 
stress
4. When you cannot hold any more relax
5. Do this 21 times","SHANTHA KUMBHAKA
TECHNIQUE
1. Inhale deeply and hold the breath inside
2. Visualize the breath inside and outside the body
3. Hold as long as possible
4. Relax when you cannot hold any more
5. Do this 21 times",,,,,,,
4,Cure For Achromatopsia,,"1. PARVATA ASANA
2. SHEETHALEE KUMBHAKA
3. SEETHKAAREE KUMBHAKA
4. RUDRASANA
5. TRINETRA KUMBHAKA
6. TRISHOOLA KUMBHAKA","PARVATA ASANA
1. Place the right foot on the left thigh
2. Now place the left foot on the right thigh
3. Keep both the arms raised above the head and join the hands
4. Remain in this pose 30 seconds
(This should be practised in both sitting as well as Lying conditions. But now we do following 
kumbhakas in sitting pose only)","2. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana 2. Close the eyes and relax the whole body 3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube 4. Inhale slowly through the tongue and fill the abdomen slowly 5. At the end of inhalation, roll the tongue in, close the mouth 6. Retain it there for a short time 7. Then exhale through both the nostrils 8. Do this 3 minutes IN PARVATA ASANA, NEXT-","3. Seethkaaree Praanaayaama
1. Stay in same asana 2. Press the lower and upper teeth together and separate the lips as much as comfortable 3. Breath in slowly through the gaps of the teeth 4. Listen to the sound of the breath as the air is being drawn in 5. Close the mouth at the end of the inhalation 6. Exhale slowly through the nose 7. Do this for 7 minutes","RUDRASANA
1. Be seated on the ground
2. Hold the corresponding feet by inserting hands under the pair of heels
3. Bring the heels towards chest
4. Fix the gaze at the tip of the nose
5. Remain in this pose 30 second","5.TRINETRA KUMBHAKA 
1. Inhale through the left nostril 2. Hold the breath as long as you can judiciously 3. Without exhalation, inhale through the right nostril 4. Hold the breath as long as you can judiciously 5. Again without exhaling, inhale through both the nostrils 6. Hold the breath as long as you can judiciously 7. Now exhale through both the nostrils slowly 8. Do this 21 times","6.TRISHOOLA KUMBHAKA
1. Inhale through the nostrils and also through the mouth simultaneously 2. Hold the breath as long as you can judiciously 3. Now exhale through the nostrils slowly and relax 4. Do this 21 times",,,,,,,,
5,Care For Addiction,,"STEPS TO BE FOLLOWED
1. BHADRA ASANA
2. KEVALEE KUMBHAKA
3. KAPAALABHAATI
4. JONEE ASANA
5. LAHIRI PRAANAAYAAMAA
6. BHRAAMAREE KUMBHAKA
7. PLAAVINEE KUMBHAK","BHADRA ASANA, 
1. Bend both the legs to the back, keep the feet facing up and Sit on it
2. Take both your hands to the back and hold your right toes with the left hand and left toes with 
the right hand
3. Do Jaalandhara bandha, contract your throat, bend your chin and rest it on your chest
4. Concentrate your gaze on the tip of your nose
5. Remain in this pose for 30 seconds and release the Jaalandhara bandha","KEVALEE KUMBHAKA
1. Inhale through the right nostril along with the internal chanting of the mantra 'sam'
2. Hold as long as you can judiciously
3. While holding the breath, chant internally the mantra 'soham' slowly.
4. Exhale through the left nostril with the internal chanting of the mantra 'ham'
5. Do this 21 times","KAPAALABHAATI PRAANAAYAAMAA
TRANSLATION-cum-TECHNIQUE
1. Breath out short and fast as you pull your abdomen in and up.
2. Allow the body to inhale by itself
3. Do this 21 times","JONEE ASANA
1. Stay on the floor with legs extended and bring heels and knees apart. 
2. Close the heels together. 
3. Bend the head forward and place it on heels. 
4. Close hands together and keep the forearms on ground.
5. Gaze at the tip of the nose
6. Remain in this posture for 30 seconds","LAHARI PRAANAAYAAMAA
1. Breath in with short inhalation with one nostril
2. Then Breath out with short exhalation with the other nostril 
3. Do this 21 times","BHRAAMAREE KUMBHAKA
1. Close your ears with hands and close your eyes and hum intensely.
2. Do this for 7 minutes, then relax.
Note: 10-15 minutes after doing this kumbhaka one should eat something","PLAAVINEE KUMBHAKA
1. Stay on same posture
2. Inhale completely
3. Contract the throat and rest your chin on the chest
4. Retain the air inside as much as you can possible
5. When you can't hold anymore, Release the throat lock and exhale slowly 
6. Do this 21 times",,,,,,,
6,Cure For Addiction,,"1. SIDDHAASANAM
2. VYAANA KUMBHAKA
3. KOORMA KUMBHAKA
4. NAAGA KUMBHAKA
5. JONEE ASANA
6. PRAKRITI KUMBHAKA
7. AGNEESHOMA KUMBHAKA","1. SIDDHAASANAM
1. One heel should be placed in the space between the genitals and anus and the other heel 
should be placed on the root of the genitals.
2. The chin should be placed on the chest. 
3. Keep the backbone straight, winning over the strong emotions, remaining calm, 
4. Gaze through the third eye .
5. Maintain the pose for 30 second","2. VYAANA KUMBHAKA
1. Inhale Deeply 
2. Hold the breath by contracting the whole body
3. Have intense awareness and visualize the whole body contracting: abdomen, throat, chest, 
back, the whole body
4. When you cannot hold anymore slowly exhale
5. Do this 21 times","3.KOORMA KUMBHAKA
1. Continue to be seated in the same asana
2. Fix your sight at one point and stare
3. Do not blink your eyes
4. Do not allow your eye balls to move.
5. Do not move your body.
6. Put your awareness on the nose (This creates certain awareness and cleanses parts inside 
your brain.Naturally your breath intake and exhalation level will come down and the Kumbhaka–
holding of the breath will happen.) 
7. When you can't hold anymore, relax
8. Then again stare
9. Do this 21 times","4. NAAGA KUMBHAKA
1. Swallow air very slowly and let the air go little by little like eating rice morsel by morsel.
2. Once you are full, immediately contract the throat, place the chin on the chest
3. Hold the breath in this posture as long as possible
4. Then release the lock and exhale slowly from the throat
5. Do this 21 times","5. JONEE ASANA
1. Stay on the floor with legs extended and bring heels and knees apart. 
2. Close the heels together. 
3. Bend the head forward and place it on heels. 
36
4. Close hands together and keep the forearms on ground.
5. Gaze at the tip of the nose
6. Remain in this posture for 30 seconds","6. PRAKRITHI KUMBHAKA
1. As you chant the bija mantra “VA” loudly, suck in air quickly.
2. After you are full, hold the breath
3. Then slowly exhale normally
4. Do this 21 times
P.S: If you have Hypertension, Hernia or if you are Pregnant do not hold the breath","7. AGNEESHOMA KUMBHAKA
1. Inhale through the right nostril
2. Hold the breath
3. Exhale through the left nostril
4. Now inhale through left nostril 
5. Hold the breath
6. Exhale through right nostril.
7. Do this 21 times",,,,,,,
7,Cure FOR AGING,,"1. ARDHA PADMA ASANA
2. SHOONYAKA KUMBHAKA
3. ANTAH KUMBHAKA
4. BAHIH KUMBHAKA
5. KEVALEE KUMBHAKA
6. BHOROLIKAA
7. KUMBHA RAAJAA KUMBHAKA
8. SURYA BHEDANA KUMBHAKA","1. ARDHA PADMA ASANA
1. Place the right foot on the left thigh 
2. Now Place the left foot under the right thigh
3. Concentrate on the tip of the nose. Keep your hands on your thighs in chin mudra
4. Settle in this posture for 30 seconds
Note: Practising Padma asana half way through is called Ardha PADMA ASANA","SHOONYAKA KUMBHAKA
1. Exhale completely
2. Hold the breath outside as long as you can
3. Now visualize moon on the crown of your head
4. Visualize nectar oozing out of the moon
5. Mentally suck the nectar
6. When you can’t hold the breath outside, slowly inhale
7. Do this 21 times","ANTAH KUMBHAKA
1. Close your eyes
2. Unclutch 
3. Inhale and hold the breath
4. Be in the unclutched state
5. Exhale slowly and relax and Breath two or three times normally
6. Do this 21 times","4. BAHIH KUMBHAKA
1. Slowly exhale
2. Retain the breath as long as possible outside without any visualization
3. Then slowly relax and inhale
4. Do this 21 times","KEVALEE KUMBHAKA
1. Inhale through the right nostril along with the internal chanting of the mantra 'sam'
2. Hold as long as you can judiciously
3. While holding the breath, chant internally the mantra 'soham' slowly.
4. Exhale through the left nostril with the internal chanting of the mantra 'ham'
5. Do this 21 times","BHOROLIKAA
1. Along with the a humming sound inhale completely
2. Without using the fingers to close the nose retain the breath inside as long as you can
3. When you can't hold more, release the breath through the nostrils without humming
4. Repeat this 21 times","KUMBHA RAAJAA
1. Inhale forcefully 
2. Hold the breath to the maximum capacity by closing the nostrils
3. Exhale when you feel you cannot hold more.
4. Do this 21 times","8. SURYA BHEDANA KUMBHAKA
1. Inhale with sound through the right nostril till the throat gets filled
2. Hold as long as possible
3. Then slowly exhale through the left nostril
4. Do this 21 times",,,,,,
8,Care FOR ANGER,,"1. DURVAASA ASANA
2. UDDEEYAANA BANDHA
3. JAALANDHARA BANDHA
4. BHASTRIKAA
5. SEETHKAAREE PRAANAAYAAMA
6. SHEETHALEE KUMBHAKA","DURVAASA ASANA
1. Stay on the floor 
2. Bend your right knee and place the right leg on the left side hip
3. Bend the left knee and place the left foot on the above the right thigh so that the left foot is 
placed near the right side hip
4. Touch the right hand finger tips with the middle joints of left fingers
5. Place the hands on the genitals
6. Fix the gaze at the eye brow center 
7. Remain in this position for 30 seconds","2. UDDEEYAANA BANDHA
1. Stay on same asana and Keep the spine straight. Head should be up and eyes open
2. Take a deep breath in and exhale completely, but do not be forceful
3. After exhaling, perform jalandhara bandha by moving the chin down to the chest and raising 
the shoulders
4. Pull the abdominal muscles inward so that the organs of the abdomen touch the back 
muscles
5. Hold as long as you can
6. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release
 jaalandhara bandha by raising the head
7. Then inhale through the nostrils slowly
8. Before repeating another round, breathe normally for a minute or two
9. Initially start with 3 times and gradually increase upto 10 times","3.JAALANDHARA BANDHA
1. Remain in same asana
2. Inhale fully
53
3. Place the chin on the chest and contract the throat
4. Fix the Gaze at the tip of the nose
5. Hold as long as possible judiciously
6. Release the throat lock and exhale slowly, when you feel you can’t hold anymore
Do this 21 times","4. BHASTRIKAA
1. Inhale slowly expanding the stomach
54
2. Exhale slowly
3. Do this 21 times
4. After 21 times, Now inhale slowly
5. Hold the breath as long as you can 
6. When you feel you cant hold quickly expel the air with the sound of bellows. At this moment 
the stomach should contract to touch the back
(This is one Bhastrikaa)
7. Do this complete sequence three times","5.SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","6. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times",,,,,,,,
9,Cure For Anger,,"1. EKAPAADA ASANA
2. UDDEEYAANA BANDHA
3. JAALANDHARA BANDHA
4. BHASTRIKAA KUMBHAKA
5. SEETHKAAREE PRAANAAYAAMAA
6. SHEETHALEE KUMBHAKA","1. EKAPAADA ASANA
1. Stand up
2. Balance yourself and place the right foot on the left thigh
3. Touch the knees with the respective hands.
4. Continue to balance yourself in this pose and remain in this posture for 30 seconds","2. UDDEEYAANA BANDHA
1. Stay on same asana and Keep the spine straight. Head should be up and eyes open
2. Take a deep breath in and exhale completely, but do not be forceful
3. After exhaling, perform jalandhara bandha by moving the chin down to the chest and raising 
the shoulders
4. Pull the abdominal muscles inward so that the organs of the abdomen touch the back 
muscles
5. Hold as long as you can
6. When you can’t hold anymore, Before inhaling, relax the stomach and abdomen, release
 jaalandhara bandha by raising the head
7. Then inhale through the nostrils slowly
8. Before repeating another round, breathe normally for a minute or two
9. Initially start with 3 times and gradually increase upto 10 times","3. JAALANDHARA BANDHA
1. Remain in same asana
2. Inhale fully
3. Place the chin on the chest and contract the throat
4. Hold as long as possible judiciously
5. When you can't hold anymore, Release the throat lock and exhale slowly","4. BHASTRIKAA 1. Inhale slowly expanding the stomach 54 2. Exhale slowly 3. Do this 21 times 4. After 21 times, Now inhale slowly 5. Hold the breath as long as you can 6. When you feel you cant hold quickly expel the air with the sound of bellows. At this moment the stomach should contract to touch the back (This is one Bhastrikaa) 7. Do this complete sequence three times","5.SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","6. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times",,,,,,,,
10,Care For Anxiety,,"1.MATSYENDRA ASANA
2.TRISHOOLA KUMBHAKA
3.SEETKAAREE PRAANAAYAAMA
4.SHEETALEE KUMBHAKA
5.TRINETRA KUMBHAKA","1. MATSYENDRA ASANA
1. Sit and Stretch your legs
63
2. Relax your stomach
3. Bend your left leg and place it over your right lap.Keep the left knee upright.Keep the left knee 
upright
4. Now place the right elbow on the left knee
5. Place your cheek on right palm 
6. Fix your gaze at the center of the eye brows
7. Stable in this asana for 30 seconds","2.TRISHOOLA KUMBHAKA 
1. Inhale through the nostrils and also through the mouth simultaneously 2. Hold the breath as long as you can judiciously 3. Now exhale through the nostrils slowly and relax 4. Do this 21 times","3.SEETHKAAREE PRAANAAYAAMA
1. Stay in same asana 
2. Press the lower and upper teeth together and separate the lips as much as comfortable
3. Breath in slowly through the gaps of the teeth
4. Listen to the sound of the breath as the air is being drawn in
5. Close the mouth at the end of the inhalation
6. Exhale slowly through the nose
7. Do this 21 times","4. SHEETHALEE KUMBHAKA
1. Continue to sit in same asana
2. Close the eyes and relax the whole body
3. Extend the tongue outside the mouth and roll the sides of the tongue up so that it forms a tube
4. Inhale slowly through the tongue and fill the abdomen slowly
5. At the end of inhalation, roll the tongue in, close the mouth
6. Retain it there for a short time
7. Then exhale through both the nostrils
8. Do this 21 times","5.TRINETRA KUMBHAKA
1. Inhale through the left nostril 2. Hold the breath as long as you can judiciously 3. With out exhalation, inhale through the right nostril 4. Hold the breath as long as you can judiciously 5. Again without exhaling, inhale through both the nostrils 6. Hold the breath as long as you can judiciously 7. Now exhale through both the nostrils slowly 8. Do this 21 times",,,,,,,,,
